uid;name;gs_x;gs_y;gs_z;cg;osn;mark;spf;tt
B5gFx4M_Y5iKSA;Диафрагма 5-5;255;270;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0040.876_L | Схема разбивки силовых элементов носовой части крыла 70.2010.2.1000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины : {{FC@@+0.2@@-0.1}} мм . | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
BBmFx4M_Y5iKSA;Диафрагма 5-4;270;260;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0040.876_L | Схема разбивки силовых элементов носовой части крыла 70.2010.2.1000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины : {{FC@@+0.2@@-0.1}} мм . | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
DXjF0Y$uY5iKSA;Диафрагма 1-1;350;480;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0040.876_L | Схема разбивки силовых элементов носовой части крыла 70.2010.2.1000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Предельные отклонения размеров на обрабатываемые толщины : {{FC@@+0.2@@-0.1}} мм . | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62. Разрешается маркировать специальной тушью"
0evBBDt4Y5iKSA;Крышка люка нижняя;640;330;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0040.876_L | Схема разбивки силовых элементов носовой части крыла 70.2010.2.0000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font>2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;</font>0,2 мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие поверхность А - Ан.Окс.нхр/Грунтовка ЭП-0215. 469 ОСТ 1 90055-85, остальные поверхности - Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
0ZtBBDt4Y5iKSA;Профиль верхний;230;50;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0040.876_L | Схема разбивки силовых элементов носовой части крыла 70.2010.2.0000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font>2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;</font>0,2 мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
0FW5N_mVY5iKSA;Диафрагма 3-1;400;360;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0005.876_R | Схема разбивки силовых элементов носовой части крыла 70.2010.2.0000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;</font> 0,2 мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
0vQ5N_mVY5iKSA;Диафрагма 4-1;460;320;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0005.876_R | Схема разбивки силовых элементов носовой части крыла 70.2010.2.0000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;</font> 0,2 мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
D2d59Z7YY5iKSA;Стенка 3;1900;240;0;20;004-006-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0005.876_R | Схема разбивки силовых элементов носовой части крыла 70.2010.2.0000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;</font> 0,2 мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
DAa5N_mVY5iKSA;Диафрагма 1-1;470;480;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0005.876_R | Схема разбивки силовых элементов носовой части крыла 70.2010.2.0000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;</font> 0,2 мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
DeY9YqvhY5iKSA;Профиль;1860;60;0;20;004-006-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0005.876_R | Схема разбивки силовых элементов носовой части крыла 70.2010.2.0000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;</font> 0,2 мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
DfR5N_mVY5iKSA;Диафрагма 2-1;300;400;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0005.876_R | Схема разбивки силовых элементов носовой части крыла 70.2010.2.0000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;</font> 0,2 мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
DLY59Z7YY5iKSA;Стенка 4;1710;220;0;20;004-006-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0005.876_R | Схема разбивки силовых элементов носовой части крыла 70.2010.2.0000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;</font> 0,2 мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
0aT5N_mVY5iKSA;Диафрагма 3-2;400;350;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0005.876_L | Схема разбивки силовых элементов носовой части крыла 70.2010.2.0000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;</font> 0,2 мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
18d5N_mVY5iKSA;Диафрагма 4-2;460;300;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0005.876_L | Схема разбивки силовых элементов носовой части крыла 70.2010.2.0000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;</font> 0,2 мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
25a952ccY5iKSA;Диафрагма 5-1;300;470;0;20;004-017-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0005.876_L | Схема разбивки силовых элементов носовой части крыла 70.2010.2.0000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;</font> 0,2 мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
2He9JHEDY5iKSA;Профиль;1860;60;0;20;004-006-042;В95оч;Плита;"ЭМП носовой части крыла 70.0022.2.0005.876_L | Схема разбивки силовых элементов носовой части крыла 70.2010.2.0000.992 | Контроль ультразвуковой заготовки - по ОСТ 1 90394-91. Не допускаются дефекты, амплитуда эхо-сигнала от которых превышает амплитуду эхо-сигнала от контрольного отражателя <font face=""Arial Unicode MS"">&#216;</font> 2 мм | Изготовление и контроль по ПИ 1.2А.513-98 | Шероховатость поверхностей указана цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;</font> 0,2 мм | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 | Острые кромки скруглить радиусом 0,4 мм | Контроль визуальный после анодирования | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85 | Маркировать Чк и клеймить Кк эмалью ЭП-140 черная шрифтом ПО-5 по ГОСТ 2930-62"
